ID,Ciudad,Estrato,Edad,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo,Trabajo_remoto,Transporte1,Compartido1,Tiempo1,Transporte2,Other.1,Compartido2,Tiempo2,Tecnologia_de_vehiculo,Other.2,Cilindrada,Kilometraje,Modelo,Costo_combustible,Costo_parqueadero,Costo_mantenimiento,Costo_obligaciones,Costo_depreciación,Costo_de_transporte,Comodidad,Rapidez,Costo,Conveniencia,Seguridad_personal,Menor_riesgo_de_accidente,Razones_ambientales,Salud,"Problemas_de_salud,_por_ejemplo,_discapacidad",Compromisos_tales_como_dejar_o_recoger_pasajeros,Preferencia_Trabajo_Remoto,Economia,Tiempo,Conveniencia.1,Seguridad_personal.1,Menor_riesgo_de_accidente.1,Razones_ambientales.1,No_hay_acceso_a_transporte_publico,Salud.1,"Problemas_de_salud,_por_ejemplo_discapacidad",Compromisos_tales_como_dejar_o_recoger_pasajeros.1,Otros,Desplazamientos_extra,OTROS_TRAYECTOS,Transporte_extra,Other.3,Transporte_almuerzo,Other.4,Tren,Cable,Transporte_integrado,Alimentador_de_sistema_masivo,Tranvia,Bus_o_Colectivo,Carro_propio_uso_individual,Carro_compartido_pasajero,Carro_compartido_conductor,Motocicleta_2T,Motocicleta_4T,Motocicleta_electrica,Taxi,Bicicleta_mecanica,Bicicleta_publica,Bicicleta_electrica_personal,Patineta,A_pie_o_caminata,Uber_o_similares,Bicicletas_eléctricas_compartidas_de_la_compañía,Patinetas_eléctricas_compartidas_de_la_compañía,Motivadores,Barreras,Sede,Genero,LATITUDE,LONGITUDE,Distancia_trabajo,dFlag,Viajes_std,Viajes_lab,Viajes_tr,Co2Flag_W,Co2Flag_lab_W,Co2Anual
000wxj0vvr5pygp7s000wxj0z9namx02,Medellín,3,46,1,1,1,1,1,1,1,0,Motocicleta 4T,,1,Motocicleta 4T,,,,Gasolina,,125,45000,2017,80000,78000,70000,800000,1000000,0,1,1,0,1,1,0,0,1,0,0,0,,,,,,,,,,,,0,1,A pie o caminata,,A pie o caminata,,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,2,1,B,Masculino,6.2998808,-75.568616,5.98248378444402,5-7 KM,14,1,0,3796.70431140839,0,197428.624193236
02hw4jm4q9j5b9aqa57602hw4qj1e52s,Medellín,5,47,1,1,1,1,1,1,0,1,Bus o colectivo,,15,No utilizo otros medios de transporte,,,,,,,,,,,,,,4600,1,1,1,1,1,1,1,1,0,1,0,,,,,,,,,,,,1,,Taxi,,A pie o caminata,,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,La parte  ambiental y  liberarse de la responsabilidad en el trafico,"el orden  público, los robos",D,Femenino,6.2375448,-75.5992194,3.68727337888077,1-5 KM,12,0,1,1453.46543136569,0,75580.2024310157
03c17n7t2s1fqic68p03c17e2ih8dyjn,Medellín,5,41,0,0,0,0,0,0,0,0,Bus o colectivo,,45,Carro propio uso individual,,,30,Gasolina,,1600,40000,2016,,,,,,12000,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,en la actualidad  mis hijas  estan en casa  y  se facilita  realizar trabajo remoto  y  poner cuidado  a las  actividades  de ellas,0,2,Bus o colectivo,,Bus o colectivo,,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,"cerca  del trabajo  no  hay estaciones  de  bicicleta publica,",no,D,Femenino,6.2412503,-75.596384,3.30030262732794,1-5 KM,10,2,0,0,427.033037383333,22205.7179439333
05v3q5w0wvj9q58dfu05v3q0arpgnwz6,Envigado,5,35,1,1,1,1,1,0,0,1,Carro propio uso individual,,25,Carro compartido pasajero,,3,25,Gasolina,,1600,3000,2020,120000,120000,300000,2500000,,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,,1,,Taxi,,No requiero desplazarme,,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,,"Sostenibilidad ecológica, económica... Ahorro de tiempo.",Bicicleta: Sensación de seguridad. Trsmoprte público: Tiempos de desplazamiento y cercanía a mi lugar de residencia.,A,Femenino,6.1785122,-75.5720148,5.07269447167416,5-7 KM,10,0,1,13093.3544580705,0,680854.431819666
065kzg2431kszaejuw9gnon065kzhf76,Envigado,3,61,0,0,0,0,0,0,0,0,Bus o colectivo,,60,A pie o caminata,,,120,Gasolina,,1600,,,,,,,,9000,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,No aplica,0,0,Bus o colectivo,,Bus o colectivo,,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,economia,seguridad,C,Masculino,6.1671339,-75.5981779,4.60023438041828,1-5 KM,10,0,0,0,0,0
06cju2rpryok7uof4ta1a06cju2b0tcd,Medellín,3,52,1,0,1,1,1,1,1,0,Tren,,2,Bus o colectivo,,,1,,,,,,,,,,,10000,1,1,1,1,1,1,0,1,0,0,0,,,,,,,,,,,,0,3,Bus o colectivo,,A pie o caminata,,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Salud, seguridad,",Ambos,B,Masculino,6.2016774,-75.5995018,6.1785261177935,5-7 KM,12,3,0,2090.81323826132,640.549556075,142030.865305489
07dp03v0c7ecbwabrkoch07dp03cuoga,Medellín,4,28,1,1,1,1,1,0,0,0,Bicicleta publica,,40,Tren,,,35,,,,,,,,,,,5000,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,0,2,Bicicleta publica,,Tren,,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,Salud y medio ambiente,Clima lluvioso,A,Masculino,6.2578045,-75.6032532,4.87125697416793,1-5 KM,10,2,0,0,0,0
07mxmay8jzh5ontw07mxmajs659okfbe,Medellín,4,47,1,1,1,1,1,0,0,1,Bus o colectivo,,75,Bus o colectivo,,,75,Gasolina,,1600,0,0,,,,,,9000,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,"por el momento por el tema de la pandemia y el largo transcurso de tiempo que tardo en desplazarme, tardo hora y media en ir a oficina y a veces dos horas en regresar a casa. debo tomar dos buses de ida y dos de regreso. El estar mas tiempo pendiente de mi familia a mejorado las relaciones y el nivel académico en mi hijo que es adolescente.",0,0,Bus o colectivo,,Taxi,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,solo transporte publico porque es el unico que me sirve para desplazarme.,"la demora en pasar y la alta afluencia de usuarios, la inseguridad, en dos ocasiones han atracado el bus. La congestion por obras en sector de la 80, hacen que los trayectos ida y regreso a veces sean de 120 minutos por trayecto",C,Femenino,6.2631,-75.595448,6.22542597652291,5-7 KM,10,0,1,2044.97120289206,0,106338.502550387
0b201gc7nhlpkd5tlcqo80b201gcazka,Medellín,2,27,1,1,1,1,1,0,0,1,Tren,,90,Bus o colectivo,,,120,,,,,,,,,,,7530,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,Falta de puestos de trabajo para personal nuevo,0,,Taxi,,No requiero desplazarme,,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,Cuidado del medio ambiente,"Vías congestionadas, inseguridad en la calles para usar bicicleta, distancia, exceso de personas en transporte publico.",D,Femenino,6.1840721,-75.6484333,11.2991687484752,7-15 KM,10,0,1,3186.36558707,0,165691.01052764
0b6bhkyz1k0t7da6wegum0b6bqk5h04g,La Ceja,3,54,1,1,1,1,0,0,0,1,Bus o colectivo,,30,Bus o colectivo,,,100,Gasolina,,1600,50,2012,,,,,,22000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,Comodidad,0,0,Bus o colectivo,,No requiero desplazarme,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,C,Femenino,6.0298998,-75.4305712,26.2141254520187,15-30 KM,8,0,1,6888.79853176817,0,358217.523651945
